,Jugador,Posición,Derribos,Derribos completados,Regateadores tackleados,Bloqueos,Disparos bloqueados,Pases bloqueados,Jug. tackleados + intercepciones,Despejes
445,Yeremi Pino,"MF,FW",25,18,9,11,1,10,30,5
446,Portu,FW,5,3,5,0,0,0,5,0
447,Portu,"MF,FW",18,13,3,9,1,8,22,6
448,José Pozo,MF,1,1,1,1,0,1,1,0
449,Alejandro Pozo Pozo,"DF,MF",19,12,12,14,4,10,26,21
450,Beñat Prados,"MF,DF",45,28,23,32,5,27,68,27
451,Abdón Prats,"FW,MF",6,4,3,6,3,3,8,12
452,Pubill,DF,47,23,22,20,8,12,62,83
453,Antonio Puertas,"MF,FW",12,8,6,5,0,5,18,4
454,Arnau Puigmal,"FW,DF",2,1,1,3,0,3,5,2
455,Nemanja Radonjić,"MF,DF",4,2,1,2,0,2,7,3
456,Aleksandar Radovanović,DF,8,7,6,8,8,0,19,48
457,Abdellah Raihani,FW,0,0,0,0,0,0,0,0
458,Antonio Raillo,DF,30,23,17,44,30,14,67,104
459,Predrag Rajković,GK,2,1,2,0,0,0,2,14
460,Ivan Rakitić,MF,30,16,11,16,5,11,44,12
461,Largie Ramazani,"FW,MF",12,7,6,16,2,14,46,10
462,Benito Ramírez,"FW,MF",5,3,3,7,1,6,8,0
463,Sandro Ramírez,FW,12,8,6,13,1,12,16,14
464,Chris Ramos,"FW,MF",28,15,8,23,7,16,37,44
465,Sergio Ramos,DF,45,30,27,35,30,5,86,156
466,Raphinha,"FW,MF",14,8,4,17,1,16,27,11
467,Andrei Ratiu,"DF,MF",12,4,8,4,1,3,12,12
468,Raúl,FW,10,4,2,9,1,8,15,11
469,Abderrahman Rebbach,"FW,MF",9,5,5,10,1,9,12,7
470,Pepe Reina,GK,0,0,0,0,0,0,0,1
471,Álex Remiro,GK,0,0,0,0,0,0,0,24
472,Chadi Riad,DF,35,24,17,23,14,9,58,108
473,Diego Rico,DF,64,48,41,25,8,17,105,76
474,Luis Rioja,"FW,MF",27,19,14,28,1,27,43,28
475,Rodrigo Riquelme,"DF,MF",30,19,18,19,0,19,39,20
476,Alberto Risco,MF,2,2,0,0,0,0,2,1
477,Mihailo Ristić,"DF,MF",15,9,9,9,2,7,25,23
478,Gorka Rivera Alonso,DF,0,0,0,0,0,0,0,0
479,Sergi Roberto,"MF,DF",15,10,3,7,2,5,23,7
480,Lucas Robertone,MF,61,33,25,43,9,34,112,43
481,Marc Roca,MF,52,36,30,29,6,23,69,23
482,Sergio Rodelas,"FW,DF",3,2,0,0,0,0,3,0
483,Rodri,"FW,MF",17,10,8,11,0,11,25,2
484,Óscar Rodríguez Arnaiz,"MF,FW",24,13,9,12,1,11,29,5
485,Damián Rodríguez,MF,6,3,1,4,2,2,7,2
486,Dani Rodríguez,MF,47,24,21,34,5,29,62,21
487,Guido Rodríguez,MF,53,30,34,27,6,21,82,44
488,Kirian Rodríguez,MF,52,32,24,39,3,36,80,23
489,Miguel Rodríguez,MF,6,3,3,8,0,8,10,0
490,Rodrygo,FW,16,15,5,14,0,14,24,6
491,Carlos Romero,DF,11,5,7,3,0,3,12,11
492,Luka Romero,FW,5,1,2,12,1,11,6,2
493,Oriol Romeu,MF,34,20,13,12,2,10,44,18
494,Unai Ropero,MF,0,0,0,0,0,0,0,0
495,Vitor Roque,FW,3,2,0,3,0,3,3,5
496,Antonio Rüdiger,DF,26,15,16,27,20,7,37,89
497,Javier Rueda Garcia,"MF,DF",0,0,0,0,0,0,0,0
498,Aitor Ruibal,"DF,FW",46,27,32,12,1,11,60,33
499,Sergio Ruiz,MF,83,46,38,24,6,18,111,43
500,Youssouf Sabaly,DF,16,11,8,6,3,3,27,27
501,Umar Sadiq,FW,15,10,4,9,0,9,15,10
502,Pablo Saenz,MF,3,3,1,0,0,0,3,0
503,Kike Salas,DF,41,23,22,25,14,11,67,91
504,Salvi,MF,0,0,0,0,0,0,1,0
505,Diadie Samassékou,MF,5,3,5,0,0,0,8,1
506,Fede San Emeterio,MF,3,2,1,3,2,1,5,1
507,Oihan Sancet,MF,19,11,8,5,1,4,29,5
508,Ricard Sánchez,DF,29,18,12,32,4,28,42,64
509,Antonio Sánchez,MF,25,11,11,24,5,19,38,13
510,Juanlu Sánchez,DF,56,35,34,24,7,17,68,36
511,Manu Sánchez,"DF,MF",54,28,31,23,3,20,73,65
512,Jesús Santiago,MF,17,8,4,3,0,3,17,8
513,Paco Sanz,DF,0,0,0,0,0,0,0,4
514,Stefan Savić,DF,27,19,15,29,15,14,54,61
515,Sávio,"FW,MF",42,25,16,34,0,34,60,11
516,Manuel Sebastián,MF,4,2,3,3,0,3,4,1
517,Aleksandar Sedlar,DF,14,10,10,8,4,4,27,43
518,André Silva,FW,2,2,0,3,0,3,3,3
519,Rui Silva,GK,0,0,0,0,0,0,1,13
520,Giuliano Simeone,FW,7,5,5,10,0,10,12,3
521,Unai Simón,GK,2,1,2,0,0,0,3,9
522,Daley Sinkgraven,DF,11,5,2,5,3,2,17,9
523,Jailson Siqueira,"DF,MF",27,18,13,13,5,8,39,32
524,Antonio Sivera,GK,0,0,0,0,0,0,0,17
525,Rubén Sobrino,"MF,FW",52,28,22,26,2,24,68,18
526,Alex Sola,"FW,MF",27,15,14,18,2,16,38,16
527,Alex Sola,"DF,MF",0,0,0,0,0,0,1,2
528,Jhon Solis,MF,10,8,4,8,3,5,18,7
529,David Soria,GK,0,0,0,0,0,0,0,21
530,Alberto Soro,MF,0,0,0,0,0,0,0,0
531,Hugo Sotelo,MF,19,17,8,7,1,6,21,5
532,Boubakary Soumaré,MF,39,28,14,25,7,18,65,20
533,Djibril Sow,MF,28,21,9,20,3,17,45,8
534,Çağlar Söyüncü,DF,1,1,0,1,0,1,2,7
535,Carl Starfelt,DF,36,30,19,35,28,7,70,159
536,Jørgen Strand Larsen,FW,21,11,8,15,1,14,26,17
537,Cristhian Stuani,FW,14,11,4,9,2,7,19,13
538,Álex Suárez,DF,53,36,31,33,14,19,71,84
539,Damián Suárez,DF,36,21,26,13,3,10,46,31
540,Denis Suárez,"MF,FW",0,0,0,2,2,0,0,4
541,Suso,"MF,FW",24,17,8,9,0,9,29,4
542,Max Svensson,FW,1,0,0,0,0,0,1,0
543,Williot Swedberg,"FW,MF",9,4,5,11,1,10,9,4
544,Mamadou Sylla,"FW,MF",0,0,0,1,1,0,0,1
545,Alexander Sørloth,FW,6,3,2,9,4,5,6,26
546,Yassin Tallal,FW,0,0,0,0,0,0,0,0
547,Renato Tapia,"MF,DF",41,29,14,31,7,24,62,50
548,César Tárrega,DF,0,0,0,0,0,0,0,2
549,Marciano Tchami,"FW,MF",0,0,0,0,0,0,0,0
550,Aurélien Tchouaméni,"MF,DF",38,23,9,21,13,8,66,52
551,Nahuel Tenaglia,DF,29,19,16,14,8,6,41,59
552,Marc-André ter Stegen,GK,0,0,0,0,0,0,0,3
553,Ramón Terrats,"MF,DF",17,13,7,11,1,10,20,9
554,Kieran Tierney,DF,37,24,18,22,8,14,47,45
555,Raúl de Tomás,FW,9,5,3,3,0,3,10,8
556,Pablo Torre,"MF,FW",5,2,4,10,2,8,9,6
557,Raúl Torrente,DF,29,16,17,16,10,6,40,68
558,Ferrán Torres,FW,9,6,5,7,1,6,14,6
559,Óliver Torres,MF,37,22,22,40,4,36,43,6
560,Lucas Torró,MF,25,15,11,10,2,8,58,37
561,Bertrand Traoré,MF,5,4,1,6,0,6,6,2
562,Hamari Traoré,DF,44,19,25,27,8,19,68,59
563,Óscar Trejo,"FW,MF",27,15,13,21,1,20,32,9
564,Manu Trigueros,MF,7,5,4,1,1,0,10,9
565,Viktor Tsyhankov,"MF,FW",29,20,14,18,1,17,41,24
566,Beñat Turrientes,MF,31,17,13,19,8,11,37,17
567,Enes Ünal,"FW,MF",0,0,0,1,0,1,0,2
568,Myrto Uzuni,FW,18,14,6,19,3,16,22,7
569,Óscar Valentín,MF,107,66,46,62,10,52,142,52
570,Martin Valjent,DF,34,18,18,26,11,15,63,112
571,Jesús Vallejo,DF,3,1,2,3,2,1,3,1
572,Álvaro Vallés,GK,3,2,3,0,0,0,3,40
573,Federico Valverde,MF,47,34,24,39,2,37,90,40
574,Siebe Van Der Heyden,DF,9,2,4,1,1,0,16,12
575,José Luis García Vayá,MF,78,53,37,41,10,31,127,71
576,Borja Vázquez,FW,1,0,1,0,0,0,1,1
577,Jesus Vazquez,"DF,MF",24,12,10,17,4,13,27,24
578,Kevin Vázquez,DF,15,13,12,11,3,8,20,25
579,Lucas Vázquez,DF,37,25,18,27,5,22,49,36
580,Gabriel Veiga,FW,0,0,0,0,0,0,0,0
581,Alejo Véliz,FW,1,0,1,0,0,0,1,1
582,Arthur Vermeeren,MF,1,0,0,5,0,5,7,2
583,Mikel Vesga,MF,40,20,19,19,7,12,72,35
584,Carlos Vicente,FW,16,6,10,4,0,4,20,9
585,Nacho Vidal,"DF,FW",5,4,2,2,0,2,5,6
586,Nacho Vidal,DF,12,5,6,5,2,3,15,9
587,Fran Vieites,GK,1,0,1,0,0,0,1,2
588,Jonathan Viera,"MF,FW",6,3,1,0,0,0,6,1
589,Jonathan Viera,MF,19,9,10,4,0,4,23,1
590,Toni Villa,FW,0,0,0,0,0,0,0,0
591,Asier Villalibre,FW,2,1,2,2,1,1,2,6
592,Gonzalo Villar,MF,51,33,26,32,10,22,57,26
593,Iván Villar,GK,0,0,0,0,0,0,0,6
594,Ricardo Visus,DF,2,2,2,2,2,0,4,9
595,Daniel Vivian,DF,42,28,28,49,25,24,73,104
596,Shon Weissman,FW,1,1,1,3,0,3,1,1
597,Iñaki Williams,FW,24,17,13,42,8,34,38,29
598,Nico Williams,FW,31,12,13,18,2,16,34,4
599,Axel Witsel,DF,35,21,17,40,21,19,51,119
600,Xeber,"FW,MF",5,5,3,2,1,1,6,2
601,Antal Yaakobishvili,DF,2,1,1,0,0,0,5,3
602,Lamine Yamal,FW,61,37,18,32,0,32,80,11
603,Roman Yaremchuk,FW,5,2,3,4,0,4,6,9
604,Arsen Zakharyan,"MF,FW",22,15,9,16,0,16,26,10
605,Joseba Zaldúa,DF,20,12,13,6,4,2,22,20
606,Bryan Zaragoza,"MF,FW",18,9,8,9,0,9,21,3
607,Igor Zubeldia,DF,32,25,19,28,19,9,64,97
608,Martín Zubimendi,MF,49,27,23,33,9,24,86,54
