,Jugador,Posición,Pelotas recuperadas,% Duelos aéreos ganados
153,Alfonso Espino,DF,171,33.3
154,Bernardo Espinosa,DF,1,50.0
155,Karl Etta,FW,0,0.0
156,Abdessamad Ezzalzouli,"FW,MF",2,33.3
157,Abdessamad Ezzalzouli,FW,44,50.0
158,Radamel Falcao,"FW,DF",20,36.8
159,Fali,DF,127,50.0
160,Ansu Fati,"MF,FW",2,50.0
161,Nabil Fekir,"MF,FW",42,47.6
162,Luiz Felipe,DF,23,25.0
163,João Félix,FW,68,50.0
164,Kiko Femenía,DF,106,47.6
165,Aitor Fernández,GK,11,0.0
166,Álex Fernández,MF,82,44.8
167,Carlos Fernández,FW,18,48.5
168,Raúl Fernández,GK,8,0
169,Valery Fernández,"MF,FW",30,40.0
170,Fernando,GK,5,100.0
171,Fernando,MF,35,55.6
172,André Ferreira,GK,18,87.5
173,Rachad Fettal,FW,1,100.0
174,Pablo Fornals,"FW,MF",72,55.0
175,Héctor Fort,DF,16,0.0
176,Dimitri Foulquier,"DF,MF",111,37.0
177,Juan Foyth,DF,58,61.9
178,Jorge de Frutos,"FW,MF",81,43.8
179,Daniel Fuzato,GK,1,0
180,Matteo Gabbia,DF,20,77.3
181,Javi Galán,DF,7,75.0
182,Javi Galán,DF,61,53.8
183,Iñigo Ruiz de Galarreta,MF,152,48.9
184,Aleix García,MF,208,42.5
185,Álvaro García,"FW,MF",111,34.1
186,Dani García,MF,40,46.7
187,David García,DF,129,72.7
188,Eric García,DF,3,100.0
189,Eric García,DF,128,57.0
190,Fran Garcia,DF,104,31.8
191,Francisco Jesús Crespo García,FW,21,66.7
192,Gonzalo García,"FW,MF",1,0
193,Jastin García,FW,1,0
194,Raúl García,"FW,MF",19,58.7
195,Rubén García,"FW,MF",86,45.5
196,Santiago García,FW,5,0
197,Unai García,DF,21,36.4
198,Federico Gattoni,"DF,FW",1,66.7
199,Gavi,"MF,FW",44,33.3
200,Paulo Gazzaniga,GK,46,100.0
201,David Gil,GK,2,100.0
202,Maxi Gómez,FW,15,50.7
203,Moi Gómez,"MF,FW",118,41.9
204,Unai Gómez,MF,45,46.4
205,Édgar González,"DF,MF",93,54.3
206,Fabio González,MF,13,33.3
207,Giovanni González,DF,154,50.7
208,Hugo González,"MF,FW",8,0.0
209,Iñaki González,MF,0,0
210,Peter González,"MF,FW",27,50.0
211,Urko González,MF,13,55.6
212,Andoni Gorosabel,DF,164,30.5
213,Pablo Gozalbez,"MF,FW",6,16.7
214,Mason Greenwood,"MF,FW",120,20.0
215,Dominik Greif,GK,1,0
216,Antoine Griezmann,"FW,MF",100,34.1
217,Vicente Guaita,GK,21,91.7
218,Andrés Guardado,MF,37,36.4
219,Sergi Guardiola,"FW,MF",27,33.3
220,Nemanja Gudelj,"DF,MF",85,66.1
221,Gonçalo Guedes,"FW,MF",29,16.7
222,Javier Guerra,MF,177,43.9
223,Ander Guevara,MF,218,52.3
224,Hugo Guillamón,MF,80,50.0
225,Marc Guiu,"FW,MF",1,25.0
226,Arda Güler,"FW,MF",21,0
227,Gerard Gumbau,MF,126,48.9
228,İlkay Gündoğan,MF,189,28.0
229,Jon Guridi,MF,131,48.9
230,Gorka Guruzeta,FW,78,43.5
231,Miguel Gutiérrez,DF,203,55.0
232,Munir El Haddadi,FW,91,31.1
233,Ianis Hagi,"MF,FW",33,54.2
234,Luiz Henrique,FW,29,51.7
235,Mario Hermoso,DF,168,59.0
236,Javi Hernández,DF,139,53.4
237,Aridane Hernández,DF,86,66.0
238,Luis Hernández,DF,24,81.8
239,Yarek Hernandis,DF,15,78.9
240,Jorge Herrando,DF,49,51.0
241,Ander Herrera,MF,76,36.8
242,Cristian Herrera,"FW,MF",9,0.0
243,Sergio Herrera,GK,26,100.0
244,Yangel Herrera,MF,125,58.1
245,Juan Herzog,DF,13,57.1
246,Martin Hongla,"MF,DF",37,20.0
247,Xabier Huarte Armendáriz,MF,0,0
248,Pablo Ibáñez,MF,74,48.6
249,Iglesias,"DF,FW",71,54.5
250,Borja Iglesias,FW,7,46.2
251,Imanol,DF,37,71.4
252,Isco,MF,129,29.1
253,Diego Iturralde,DF,1,0
254,Adnan Januzaj,"FW,MF",9,75.0
255,Mikel Jauregizar,MF,9,11.1
256,Luis Javier Suárez,FW,17,23.3
257,Salim El Jebari,MF,0,0.0
258,Frenkie de Jong,MF,117,57.5
259,Joan Jordán,MF,19,44.4
260,Jordi,"MF,DF",36,34.4
261,Jeremy Jorge,FW,0,0
262,Willian José,FW,41,43.7
263,Joselu,FW,36,54.7
264,Kamil Jóźwiak,MF,34,48.3
265,Juanmi,FW,39,24.2
266,Juanpe,DF,27,61.8
267,Vinicius Júnior,FW,44,12.5
268,Filip Jørgensen,GK,40,100.0
269,Sory Kaba,FW,17,46.3
270,Kaiky,DF,14,50.0
271,Jon Karrikaburu,"MF,FW",2,0
272,Ibrahima Kebe,MF,5,60.0
273,Kiké,"FW,MF",52,44.2
274,Koke,MF,198,48.4
275,Ibrahima Koné,FW,7,47.4
276,Rominigue Kouamé,MF,60,59.4
277,Jules Koundé,DF,157,61.7
278,Toni Kroos,MF,144,66.7
279,Takefusa Kubo,"FW,MF",98,40.7
280,Luca de la Torre,MF,107,27.5
281,Yoel Lago,DF,2,0
282,Érik Lamela,"FW,MF",24,37.5
283,Bruno Langa,DF,37,25.0
284,Cyle Larin,FW,42,44.9
285,Juanmi Latasa,FW,31,53.4
286,Toni Lato,DF,83,34.5
287,Lázaro,"FW,MF",13,26.7
288,Robin Le Normand,DF,111,64.7
289,Jeremías Ledesma,GK,54,66.7
290,Florian Lejeune,DF,173,62.0
291,Stefan Lekovic,DF,0,0
292,Iñigo Lekue,DF,139,62.5
293,Thomas Lemar,MF,5,0.0
294,Álvaro Lemos,DF,10,71.4
295,Ruben Lendinez,DF,1,0
296,Robert Lewandowski,FW,56,51.0
297,Samuel Lino,"DF,MF",144,34.6
298,Javier Llabrés,"MF,FW",15,40.0
299,Marcos Llorente,"MF,DF",115,33.3
300,Enzo Loiodice,MF,123,50.0
301,David López,DF,121,45.7
302,Diego López,"MF,FW",121,41.7
303,Fermin López,"MF,FW",70,25.8
304,Javi López,DF,123,56.0
305,Unai López,MF,160,45.7
306,Dion Lopy,MF,149,72.1
307,Anthony Lozano,"MF,FW",2,50.0
308,Anthony Lozano,FW,20,32.3
309,Lucas,DF,92,32.4
310,José Luis Gayà,DF,112,55.0
311,José Luis Morales,"FW,MF",38,14.3
312,Dodi Lukebakio,"FW,MF",33,48.0
313,Andriy Lunin,GK,17,100.0
314,Darwin Machís,MF,53,23.1
315,Pablo Maffeo,DF,81,56.9
316,Jon Magunacelaya,"FW,MF",7,20.0
317,Nemanja Maksimović,MF,140,53.4
318,Giorgi Mamardashvili,GK,34,90.0
319,Wilson Manafá,"DF,MF",20,50.0
320,Reinildo Mandava,DF,53,54.5
321,Aïssa Mandi,DF,49,52.2
322,Javier Manquillo,"DF,MF",30,56.5
323,Faitout Maouassa,"DF,MF",11,75.0
324,Marcão,DF,18,62.5
325,Óscar de Marcos,DF,124,44.8
