,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
369,Luka Modrić,18.8,0,0,53,196,85,0.11,0.32,0.43
370,Johan Mojica,22.7,0,0,57,82,117,0.00,0.13,0.13
371,Alberto Moleiro,20.0,0,0,86,87,184,0.15,0.15,0.30
372,Nahuel Molina,20.6,0,0,47,68,170,0.10,0.15,0.24
373,Jon Moncayola,20.0,0,0,14,99,46,0.05,0.15,0.20
374,César Montes,19.9,0,0,7,52,2,0.00,0.00,0.00
375,Álvaro Morata,21.2,0,1,22,20,88,0.71,0.14,0.85
376,Alberto Moreno,16.5,0,0,26,55,79,0.12,0.12,0.24
377,Gerard Moreno,24.6,2,3,48,155,199,0.41,0.24,0.57
378,Jorge Moreno,0.2,0,0,0,0,0,0.00,0.00,0.00
379,Ilaix Moriba,6.7,0,0,8,21,19,0.00,0.30,0.30
380,Manu Morlanes,17.9,0,0,29,104,31,0.00,0.11,0.11
381,Cristhian Mosquera,34.2,0,0,14,77,4,0.00,0.00,0.00
382,Yerson Mosquera,13.7,0,0,8,36,12,0.15,0.07,0.22
383,Abdul Mumin,18.8,0,0,6,38,4,0.05,0.00,0.05
384,Iker Muniain,6.6,0,0,18,43,50,0.30,0.00,0.30
385,Aihen Muñoz,12.5,0,0,24,39,23,0.00,0.16,0.16
386,Álvaro Muñoz,0.0,0,0,0,0,0,0.00,0.00,0.00
387,Iker Muñoz,20.6,0,0,17,80,23,0.19,0.00,0.19
388,Javier Muñoz,29.3,0,0,33,122,126,0.07,0.10,0.17
389,Vedat Muriqi,25.9,1,3,20,40,134,0.27,0.08,0.31
390,Nacho,19.4,0,0,13,55,9,0.00,0.05,0.05
391,Matija Nastasić,25.1,0,0,11,64,4,0.08,0.00,0.08
392,Roberto Navarro,21.0,0,0,81,70,119,0.05,0.05,0.10
393,Jesús Navas,22.3,0,0,54,103,141,0.00,0.09,0.09
394,Álvaro Negredo,0.6,0,0,0,0,0,0.00,0.00,0.00
395,Carlos Neva,35.0,0,0,43,111,98,0.00,0.06,0.06
396,Tanguy Nianzou,3.5,0,0,2,14,1,0.00,0.00,0.00
397,Saúl Ñíguez,15.3,0,0,21,34,43,0.07,0.26,0.33
398,Peru Nolaskoain,0.1,0,0,0,0,0,0.00,0.00,0.00
399,Randy Nteka,6.4,1,1,12,15,35,0.16,0.16,0.16
400,Unai Núñez,31.1,0,0,10,106,2,0.03,0.00,0.03
401,Ørjan Nyland,24.0,0,0,0,0,1,0.00,0.00,0.00
402,Jan Oblak,38.0,0,0,0,0,0,0.00,0.00,0.00
403,Brian Ocampo,2.8,0,0,18,9,25,0.36,0.00,0.36
404,Lucas Ocampos,31.9,1,1,117,124,265,0.13,0.09,0.19
405,Álvaro Odriozola,4.4,0,0,14,8,12,0.00,0.00,0.00
406,Aingeru Olabarrieta,0.1,0,0,1,0,0,0.00,0.00,0.00
407,Olasagasti,4.0,0,0,8,13,12,0.00,0.00,0.00
408,Samuel Omorodion,21.3,0,0,30,18,100,0.38,0.05,0.42
409,Samuel Omorodion,0.9,0,0,0,0,3,1.13,0.00,1.13
410,Aimar Oroz,26.0,1,1,52,103,126,0.08,0.04,0.08
411,Eneko Ortiz,0.2,0,0,1,1,1,0.00,0.00,0.00
412,Asier Osambela,0.1,0,0,0,0,1,0.00,0.00,0.00
413,Milutin Osmajić,0.1,0,0,0,0,0,0.00,0.00,0.00
414,Aiham Ousou,4.8,0,0,2,7,0,0.00,0.00,0.00
415,Jesús Owono,4.0,0,0,0,0,0,0.00,0.00,0.00
416,Mikel Oyarzabal,24.0,2,2,27,39,126,0.38,0.13,0.42
417,Cenk Özkacar,17.8,0,0,17,56,5,0.00,0.00,0.00
418,Jon Pacheco,17.0,0,0,9,53,1,0.06,0.06,0.12
419,Isaac Palazón Camacho,31.0,2,2,40,128,152,0.13,0.03,0.10
420,Joaquín Panichelli,2.5,0,0,3,6,10,0.00,0.00,0.00
421,Sokratis Papastathopoulos,12.6,0,0,1,13,1,0.00,0.00,0.00
422,Victor Parada,0.0,0,0,0,0,0,0.00,0.00,0.00
423,Aitor Paredes,30.0,0,0,6,107,1,0.03,0.00,0.03
424,Daniel Parejo,28.7,3,3,11,210,28,0.10,0.17,0.17
425,Pascu,0.2,0,0,0,2,1,0.00,0.00,0.00
426,Gabriel Paulista,4.5,0,0,1,7,0,0.00,0.00,0.00
427,Gabriel Paulista,15.5,0,0,2,33,2,0.00,0.00,0.00
428,Nicolás Paz,0.3,0,0,3,6,2,0.00,0.00,0.00
429,Alfonso Pedraza,12.4,0,0,56,31,97,0.08,0.24,0.32
430,Pedri,16.4,0,0,41,136,81,0.24,0.12,0.37
431,Adrià Pedrosa,19.5,0,0,46,61,109,0.05,0.21,0.26
432,Facundo Pellistri,13.7,0,0,33,22,96,0.15,0.07,0.22
433,Iñaki Peña,10.0,0,0,0,0,0,0.00,0.00,0.00
434,Marcos Peña,4.9,0,0,0,10,0,0.00,0.00,0.00
435,Rubén Peña,23.2,0,0,62,78,147,0.00,0.09,0.09
436,Alberto Perea,0.0,0,0,0,2,1,0.00,0.00,0.00
437,Ayoze Pérez,25.5,0,0,90,80,175,0.35,0.04,0.39
438,Carles Pérez,8.6,0,0,34,18,66,0.12,0.12,0.23
439,Francisco Perez,22.8,0,0,59,41,145,0.04,0.18,0.22
440,Kike Pérez,9.3,0,0,17,47,42,0.11,0.00,0.11
441,Máximo Perrone,18.0,0,0,12,78,22,0.00,0.00,0.00
442,Njegoš Petrović,1.7,0,0,3,8,3,0.00,0.00,0.00
443,Germán Pezzella,30.7,0,0,5,64,1,0.03,0.00,0.03
444,Kamil Piątkowski,5.6,0,0,2,10,0,0.00,0.00,0.00
445,Yeremi Pino,5.3,0,0,11,10,49,0.00,0.00,0.00
446,Portu,1.1,0,0,3,3,3,0.00,0.00,0.00
447,Portu,13.2,0,0,32,32,96,0.53,0.38,0.91
448,José Pozo,0.2,0,0,0,1,2,0.00,0.00,0.00
449,Alejandro Pozo Pozo,10.8,0,0,22,44,62,0.00,0.00,0.00
450,Beñat Prados,16.1,0,0,23,87,30,0.00,0.00,0.00
451,Abdón Prats,14.1,0,0,9,26,49,0.43,0.07,0.50
452,Pubill,20.9,0,0,59,36,85,0.05,0.14,0.19
453,Antonio Puertas,8.1,0,2,18,22,46,0.00,0.25,0.25
454,Arnau Puigmal,2.8,0,0,4,8,17,0.00,0.00,0.00
455,Nemanja Radonjić,3.9,0,0,23,12,43,0.00,0.00,0.00
456,Aleksandar Radovanović,6.3,0,0,0,5,1,0.00,0.00,0.00
457,Abdellah Raihani,0.1,0,0,0,0,1,0.00,0.00,0.00
458,Antonio Raillo,24.4,0,0,24,80,4,0.12,0.08,0.21
459,Predrag Rajković,36.0,0,0,0,0,0,0.00,0.00,0.00
460,Ivan Rakitić,15.8,0,0,24,127,52,0.13,0.06,0.19
461,Largie Ramazani,17.3,0,0,59,42,104,0.17,0.29,0.46
462,Benito Ramírez,4.3,0,0,13,5,46,0.23,0.23,0.47
463,Sandro Ramírez,20.1,0,1,61,54,209,0.05,0.15,0.20
464,Chris Ramos,29.0,0,0,31,28,102,0.17,0.03,0.21
465,Sergio Ramos,28.0,0,0,11,81,5,0.11,0.00,0.11
466,Raphinha,15.2,1,1,49,57,164,0.39,0.59,0.92
467,Andrei Ratiu,7.0,0,0,28,19,25,0.00,0.00,0.00
468,Raúl,15.1,0,0,16,22,68,0.40,0.07,0.46
469,Abderrahman Rebbach,8.0,0,0,34,14,78,0.12,0.00,0.12
470,Pepe Reina,2.0,0,0,0,0,0,0.00,0.00,0.00
471,Álex Remiro,36.4,0,0,0,1,0,0.00,0.00,0.00
472,Chadi Riad,24.0,0,0,4,34,1,0.00,0.00,0.00
473,Diego Rico,28.2,0,0,28,119,79,0.00,0.25,0.25
474,Luis Rioja,27.8,3,4,70,77,173,0.18,0.14,0.22
475,Rodrigo Riquelme,17.0,0,0,87,53,166,0.18,0.29,0.47
476,Alberto Risco,1.5,0,0,3,6,14,0.00,0.00,0.00
477,Mihailo Ristić,9.0,0,0,24,30,42,0.00,0.00,0.00
478,Gorka Rivera Alonso,0.0,0,0,0,0,0,0.00,0.00,0.00
479,Sergi Roberto,9.6,0,0,13,50,33,0.31,0.21,0.52
480,Lucas Robertone,26.5,0,0,31,128,37,0.00,0.19,0.19
481,Marc Roca,22.0,0,0,24,126,20,0.09,0.09,0.18
482,Sergio Rodelas,1.4,0,0,3,1,5,0.00,0.74,0.74
483,Rodri,11.7,0,0,49,65,116,0.00,0.00,0.00
484,Óscar Rodríguez Arnaiz,10.7,0,0,13,52,48,0.19,0.09,0.28
485,Damián Rodríguez,2.9,0,0,2,9,4,0.00,0.70,0.70
486,Dani Rodríguez,29.1,0,0,54,118,110,0.07,0.14,0.21
487,Guido Rodríguez,20.5,0,0,8,65,18,0.10,0.00,0.10
488,Kirian Rodríguez,35.7,0,0,46,296,78,0.17,0.06,0.22
489,Miguel Rodríguez,3.3,0,0,14,8,35,0.00,0.00,0.00
490,Rodrygo,26.4,0,1,159,90,301,0.38,0.19,0.57
491,Carlos Romero,2.9,0,0,6,6,21,0.00,0.00,0.00
492,Luka Romero,4.9,0,0,11,14,20,0.62,0.00,0.62
493,Oriol Romeu,10.4,0,0,12,66,4,0.00,0.10,0.10
494,Unai Ropero,0.1,0,0,0,0,0,0.00,0.00,0.00
495,Vitor Roque,3.6,0,0,12,2,26,0.55,0.00,0.55
496,Antonio Rüdiger,30.1,0,0,17,88,1,0.03,0.00,0.03
497,Javier Rueda Garcia,0.2,0,0,0,1,2,0.00,0.00,0.00
498,Aitor Ruibal,11.3,0,0,22,54,50,0.18,0.09,0.27
499,Sergio Ruiz,27.7,0,0,34,113,23,0.00,0.14,0.14
500,Youssouf Sabaly,11.6,0,0,31,47,43,0.00,0.09,0.09
501,Umar Sadiq,12.0,0,0,18,13,74,0.25,0.08,0.33
502,Pablo Saenz,0.2,0,0,0,2,0,0.00,0.00,0.00
503,Kike Salas,17.8,0,0,11,61,16,0.17,0.00,0.17
504,Salvi,0.3,0,0,2,0,2,0.00,0.00,0.00
505,Diadie Samassékou,1.0,0,0,2,7,1,0.00,0.00,0.00
506,Fede San Emeterio,1.7,0,0,0,4,0,0.59,0.00,0.59
507,Oihan Sancet,21.9,0,1,76,121,157,0.18,0.23,0.41
508,Ricard Sánchez,25.5,0,0,49,84,103,0.12,0.00,0.12
509,Antonio Sánchez,16.1,0,0,35,57,61,0.19,0.06,0.25
510,Juanlu Sánchez,13.1,0,0,42,50,112,0.00,0.15,0.15
511,Manu Sánchez,19.7,0,0,41,74,67,0.00,0.25,0.25
512,Jesús Santiago,7.3,0,0,5,15,12,0.14,0.00,0.14
513,Paco Sanz,0.3,0,0,0,0,0,0.00,0.00,0.00
514,Stefan Savić,18.1,0,0,14,66,2,0.00,0.00,0.00
515,Sávio,33.1,0,0,181,93,372,0.27,0.30,0.57
516,Manuel Sebastián,1.3,0,0,1,3,1,0.00,0.00,0.00
517,Aleksandar Sedlar,10.5,0,0,6,26,1,0.10,0.00,0.10
518,André Silva,8.1,1,1,5,7,44,0.37,0.00,0.25
519,Rui Silva,27.5,0,0,0,1,1,0.00,0.00,0.00
520,Giuliano Simeone,7.0,0,1,25,24,47,0.14,0.29,0.43
521,Unai Simón,35.4,0,0,0,0,0,0.00,0.00,0.00
522,Daley Sinkgraven,4.3,0,0,3,17,8,0.00,0.00,0.00
523,Jailson Siqueira,10.0,0,0,16,38,8,0.00,0.10,0.10
524,Antonio Sivera,34.0,0,0,0,0,0,0.00,0.00,0.00
525,Rubén Sobrino,18.3,0,0,27,34,78,0.00,0.05,0.05
526,Alex Sola,14.0,0,0,40,42,103,0.00,0.21,0.21
527,Alex Sola,0.3,0,0,1,1,0,0.00,0.00,0.00
528,Jhon Solis,4.3,0,0,9,22,13,0.00,0.00,0.00
529,David Soria,37.9,0,0,0,0,0,0.00,0.00,0.00
530,Alberto Soro,0.1,0,0,0,0,0,0.00,0.00,0.00
531,Hugo Sotelo,8.0,0,0,16,55,13,0.00,0.12,0.12
532,Boubakary Soumaré,25.4,0,0,29,102,22,0.00,0.04,0.04
533,Djibril Sow,16.2,0,0,25,73,45,0.06,0.06,0.12
534,Çağlar Söyüncü,1.3,0,0,2,6,0,0.00,0.00,0.00
535,Carl Starfelt,24.6,0,0,5,38,1,0.04,0.00,0.04
536,Jørgen Strand Larsen,31.8,0,0,33,25,183,0.41,0.09,0.50
537,Cristhian Stuani,8.9,0,0,3,5,24,1.01,0.34,1.34
538,Álex Suárez,28.5,0,0,12,109,15,0.07,0.00,0.07
539,Damián Suárez,14.4,0,0,20,58,47,0.00,0.14,0.14
540,Denis Suárez,1.5,0,0,4,13,7,0.00,0.00,0.00
541,Suso,16.9,0,0,41,110,109,0.06,0.24,0.30
542,Max Svensson,0.0,0,0,0,0,0,0.00,0.00,0.00
543,Williot Swedberg,4.9,0,0,7,6,26,1.03,0.00,1.03
544,Mamadou Sylla,0.2,0,0,0,1,1,0.00,0.00,0.00
545,Alexander Sørloth,27.7,0,0,48,40,159,0.83,0.22,1.05
546,Yassin Tallal,0.0,0,0,1,0,1,0.00,0.00,0.00
547,Renato Tapia,14.9,0,0,9,61,14,0.00,0.00,0.00
548,César Tárrega,0.1,0,0,0,0,0,0.00,0.00,0.00
549,Marciano Tchami,0.5,0,0,1,1,3,0.00,0.00,0.00
550,Aurélien Tchouaméni,22.1,0,0,28,111,15,0.14,0.05,0.18
551,Nahuel Tenaglia,12.7,0,0,17,45,24,0.08,0.00,0.08
552,Marc-André ter Stegen,28.0,0,0,0,1,0,0.00,0.00,0.00
553,Ramón Terrats,8.7,0,0,19,38,54,0.00,0.23,0.23
554,Kieran Tierney,13.8,0,0,22,77,39,0.00,0.15,0.15
555,Raúl de Tomás,14.1,1,1,11,23,73,0.07,0.14,0.14
556,Pablo Torre,7.8,0,0,25,65,40,0.00,0.26,0.26
557,Raúl Torrente,13.9,0,0,4,33,2,0.00,0.00,0.00
558,Ferrán Torres,13.5,0,0,30,44,113,0.52,0.15,0.67
559,Óliver Torres,18.0,0,0,40,96,110,0.00,0.06,0.06
560,Lucas Torró,19.9,0,0,3,60,15,0.05,0.00,0.05
561,Bertrand Traoré,6.3,0,0,29,30,63,0.16,0.00,0.16
562,Hamari Traoré,25.5,0,0,49,129,83,0.00,0.08,0.08
563,Óscar Trejo,15.3,0,0,28,124,81,0.00,0.00,0.00
564,Manu Trigueros,3.4,0,0,7,20,13,0.00,0.00,0.00
565,Viktor Tsyhankov,22.8,0,0,65,89,226,0.35,0.31,0.66
566,Beñat Turrientes,18.7,0,0,26,51,31,0.00,0.05,0.05
567,Enes Ünal,1.6,0,0,2,1,7,0.00,0.64,0.64
568,Myrto Uzuni,27.2,4,5,21,18,90,0.40,0.04,0.29
569,Óscar Valentín,29.9,0,0,24,132,11,0.03,0.00,0.03
570,Martin Valjent,26.1,0,0,22,61,27,0.00,0.04,0.04
571,Jesús Vallejo,1.2,0,0,1,2,0,0.00,0.00,0.00
572,Álvaro Vallés,36.3,0,0,0,5,0,0.00,0.00,0.00
573,Federico Valverde,32.3,0,0,104,231,102,0.06,0.22,0.28
574,Siebe Van Der Heyden,3.2,0,0,1,1,1,0.00,0.00,0.00
575,José Luis García Vayá,36.7,7,8,30,251,43,0.19,0.03,0.03
576,Borja Vázquez,0.0,0,0,0,1,1,0.00,0.00,0.00
577,Jesus Vazquez,8.0,0,0,13,15,29,0.13,0.00,0.13
578,Kevin Vázquez,7.8,0,0,6,28,20,0.00,0.00,0.00
579,Lucas Vázquez,15.8,0,0,28,58,160,0.19,0.38,0.57
580,Gabriel Veiga,0.2,0,0,0,0,1,0.00,0.00,0.00
581,Alejo Véliz,0.4,0,0,0,0,1,0.00,0.00,0.00
582,Arthur Vermeeren,1.8,0,0,2,7,7,0.00,0.00,0.00
583,Mikel Vesga,17.0,2,2,10,88,29,0.18,0.06,0.12
584,Carlos Vicente,12.4,0,0,23,23,82,0.16,0.32,0.48
585,Nacho Vidal,1.1,0,0,0,1,4,0.94,0.00,0.94
586,Nacho Vidal,4.6,0,0,5,15,31,0.00,0.00,0.00
587,Fran Vieites,3.5,0,0,0,0,0,0.00,0.00,0.00
588,Jonathan Viera,6.9,2,2,26,65,37,0.29,0.15,0.15
589,Jonathan Viera,10.1,0,0,35,68,29,0.00,0.30,0.30
590,Toni Villa,0.1,0,0,1,1,3,0.00,0.00,0.00
591,Asier Villalibre,5.7,0,0,6,10,29,0.35,0.18,0.53
592,Gonzalo Villar,20.0,0,0,27,74,27,0.05,0.15,0.20
593,Iván Villar,11.3,0,0,0,0,0,0.00,0.00,0.00
594,Ricardo Visus,1.8,0,0,0,2,0,0.00,0.00,0.00
595,Daniel Vivian,32.0,0,0,23,123,4,0.00,0.00,0.00
596,Shon Weissman,0.9,0,0,1,1,1,0.00,0.00,0.00
597,Iñaki Williams,31.6,0,0,114,78,333,0.38,0.09,0.47
598,Nico Williams,25.1,0,0,143,66,302,0.20,0.44,0.64
599,Axel Witsel,30.9,0,0,17,89,8,0.06,0.00,0.06
600,Xeber,3.4,0,0,6,6,30,0.00,0.00,0.00
601,Antal Yaakobishvili,0.7,0,0,0,0,0,0.00,0.00,0.00
602,Lamine Yamal,24.5,0,0,123,80,350,0.20,0.20,0.41
603,Roman Yaremchuk,10.3,0,0,12,20,46,0.29,0.00,0.29
604,Arsen Zakharyan,13.6,0,0,28,47,88,0.07,0.15,0.22
605,Joseba Zaldúa,7.8,0,0,7,15,33,0.00,0.00,0.00
606,Bryan Zaragoza,18.2,1,1,100,36,127,0.33,0.11,0.38
607,Igor Zubeldia,28.0,0,0,28,129,0,0.00,0.07,0.07
608,Martín Zubimendi,29.5,0,0,34,152,27,0.14,0.03,0.17
