,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
84,João Cancelo,27.8,0,0,106,141,193,0.07,0.14,0.22
85,Sergi Canós,13.7,0,0,32,52,88,0.07,0.15,0.22
86,Étienne Capoue,16.2,0,0,24,80,38,0.06,0.06,0.12
87,Isaac Carcelen,29.0,0,0,25,75,70,0.00,0.00,0.00
88,Cárdenas,1.0,0,0,0,0,0,0.00,0.00,0.00
89,Marc Cardona,8.0,1,1,10,13,74,0.50,0.12,0.50
90,Sergi Cardona,31.3,0,0,60,160,165,0.03,0.06,0.10
91,Johnny Cardoso,14.8,0,0,10,45,11,0.07,0.14,0.20
92,Carmona,14.6,0,0,29,39,55,0.07,0.07,0.14
93,Yannick Carrasco,2.5,0,0,9,6,17,0.00,0.41,0.41
94,Álvaro Carreras,5.3,0,0,13,14,31,0.00,0.00,0.00
95,Dani Carvajal,24.1,0,0,30,82,168,0.17,0.12,0.29
96,William Carvalho,7.6,0,0,12,58,12,0.13,0.40,0.53
97,Marc Casado,0.2,0,0,1,1,0,0.00,0.00,0.00
98,Catena,28.2,0,0,5,77,1,0.04,0.11,0.14
99,Dani Ceballos,6.6,0,0,16,47,23,0.00,0.30,0.30
100,Álex Centelles,10.9,0,0,16,31,53,0.00,0.09,0.09
101,Franco Cervi,6.1,0,0,16,24,36,0.00,0.16,0.16
102,Pep Chavarría,13.0,0,0,28,74,84,0.08,0.08,0.15
103,Andreas Christensen,22.0,0,0,24,117,6,0.09,0.09,0.18
104,Víctor Chust,20.7,0,0,10,80,2,0.00,0.05,0.05
105,Pathé Ciss,18.5,0,0,14,84,22,0.05,0.00,0.05
106,Silvi Clúa,0.0,0,0,0,0,0,0.00,0.00,0.00
107,Saúl Coco,25.5,0,0,9,69,1,0.04,0.00,0.04
108,Santi Comesaña,18.4,0,0,23,92,48,0.11,0.00,0.11
109,Copete,14.8,0,0,3,52,2,0.07,0.07,0.14
110,Francis Coquelin,10.1,0,0,5,47,14,0.00,0.00,0.00
111,Theo Corbeanu,2.0,0,0,5,5,13,0.49,0.00,0.49
112,Jesús Corona,0.2,0,0,0,0,4,0.00,0.00,0.00
113,Ángel Correa,17.0,1,1,40,61,128,0.53,0.12,0.59
114,Thierry Correia,23.9,0,0,40,80,56,0.00,0.08,0.08
115,Jaume Costa,18.7,0,0,34,50,104,0.00,0.05,0.05
116,Samu Costa,25.6,0,0,16,93,32,0.04,0.04,0.08
117,Thibaut Courtois,3.7,0,0,0,0,0,0.00,0.00,0.00
118,Yan Couto,24.9,0,0,151,97,240,0.04,0.32,0.36
119,Crespo,5.9,0,0,13,30,20,0.00,0.00,0.00
120,Cristian,0.6,0,0,0,0,0,0.00,0.00,0.00
121,Juan Cruz Armada,18.5,0,0,16,77,29,0.00,0.05,0.05
122,Juan Cruz,0.8,0,0,2,3,10,0.00,0.00,0.00
123,Pau Cubarsí,17.3,0,0,8,75,2,0.00,0.00,0.00
124,Iván Cuéllar,1.0,0,0,0,0,0,0.00,0.00,0.00
125,Jorge Cuenca,21.8,0,0,11,78,30,0.14,0.05,0.18
126,Eric Curbelo,1.1,0,0,0,4,0,0.00,0.00,0.00
127,Alberto Dadie,0.3,0,0,0,0,0,0.00,0.00,0.00
128,Sergi Darder,24.0,0,0,56,132,75,0.08,0.21,0.29
129,Rodrigo De Paul,23.1,0,0,73,202,55,0.13,0.22,0.35
130,Mouctar Diakhaby,11.9,0,0,7,29,1,0.08,0.00,0.08
131,Moussa Diakité,0.0,0,0,0,0,0,0.00,0.00,0.00
132,Assane Diao,11.6,0,0,33,20,101,0.17,0.00,0.17
133,Brahim Díaz,17.2,0,0,76,75,166,0.47,0.35,0.82
134,Víctor Díaz,1.8,0,0,0,2,0,0.00,0.00,0.00
135,Famara Diedhiou,1.0,0,0,5,0,19,0.00,1.01,1.01
136,Stole Dimitrievski,37.0,0,0,0,0,0,0.00,0.00,0.00
137,Djené,27.6,0,0,13,98,19,0.00,0.00,0.00
138,Marko Dmitrović,13.0,0,0,0,1,0,0.00,0.00,0.00
139,Jaume Doménech,0.9,0,0,0,0,0,0.00,0.00,0.00
140,Carlos Dominguez,17.6,0,0,11,63,3,0.00,0.00,0.00
141,Mario Dominguez,0.3,0,0,0,1,1,0.00,0.00,0.00
142,Carlos Dotor,7.9,0,0,3,30,12,0.00,0.00,0.00
143,Anastasios Douvikas,10.1,0,0,10,13,53,0.70,0.10,0.80
144,Artem Dovbyk,28.7,7,8,18,26,118,0.83,0.28,0.87
145,Domingos Duarte,10.1,0,0,7,47,0,0.00,0.00,0.00
146,Rubén Duarte,20.9,0,0,16,81,39,0.10,0.05,0.14
147,Hugo Duro,33.1,0,0,27,34,157,0.39,0.06,0.45
148,Aritz Elustondo,9.0,0,0,4,31,2,0.00,0.11,0.11
149,Adri Embarba,27.5,1,1,94,58,167,0.11,0.07,0.15
150,Youssef En-Nesyri,28.6,1,1,17,17,81,0.56,0.07,0.60
151,Gonzalo Escalante,18.9,0,0,4,66,14,0.05,0.11,0.16
152,Aarón Escandell,1.7,0,0,0,0,0,0.00,0.00,0.00
153,Alfonso Espino,27.9,0,0,41,113,89,0.00,0.04,0.04
154,Bernardo Espinosa,0.0,0,0,0,0,0,0.00,0.00,0.00
155,Karl Etta,0.2,0,0,0,0,1,0.00,0.00,0.00
156,Abdessamad Ezzalzouli,0.8,0,0,7,1,12,0.00,0.00,0.00
157,Abdessamad Ezzalzouli,9.6,0,1,57,25,89,0.10,0.00,0.10
158,Radamel Falcao,4.5,1,1,7,7,23,0.22,0.00,0.00
159,Fali,28.3,0,0,16,82,10,0.00,0.00,0.00
160,Ansu Fati,0.6,0,0,6,4,5,0.00,0.00,0.00
161,Nabil Fekir,11.7,0,0,32,67,77,0.09,0.17,0.26
162,Luiz Felipe,4.0,0,0,0,4,0,0.00,0.00,0.00
163,João Félix,17.1,0,0,69,68,169,0.41,0.18,0.58
164,Kiko Femenía,17.6,0,0,46,100,45,0.00,0.00,0.00
165,Aitor Fernández,6.1,0,0,0,1,0,0.00,0.00,0.00
166,Álex Fernández,14.3,0,0,11,52,26,0.00,0.07,0.07
167,Carlos Fernández,4.5,1,1,5,4,13,0.44,0.22,0.44
168,Raúl Fernández,3.1,0,0,0,0,0,0.00,0.00,0.00
169,Valery Fernández,5.6,0,0,20,12,54,0.36,0.00,0.36
170,Fernando,4.0,0,0,0,0,0,0.00,0.00,0.00
171,Fernando,5.1,0,0,5,24,7,0.00,0.00,0.00
172,André Ferreira,14.9,0,0,0,0,0,0.00,0.00,0.00
173,Rachad Fettal,0.2,0,0,0,0,2,0.00,0.00,0.00
174,Pablo Fornals,12.8,0,0,37,89,82,0.24,0.16,0.39
175,Héctor Fort,3.5,0,0,3,7,38,0.00,0.57,0.57
176,Dimitri Foulquier,20.5,0,0,42,72,64,0.00,0.00,0.00
177,Juan Foyth,11.8,0,0,19,51,28,0.08,0.08,0.17
178,Jorge de Frutos,17.2,0,0,42,40,144,0.12,0.00,0.12
179,Daniel Fuzato,0.1,0,0,0,0,0,0.00,0.00,0.00
180,Matteo Gabbia,5.3,0,0,1,9,0,0.00,0.00,0.00
181,Javi Galán,1.0,0,0,3,4,13,0.00,0.00,0.00
182,Javi Galán,11.9,0,0,46,45,70,0.00,0.08,0.08
183,Iñigo Ruiz de Galarreta,23.2,0,0,26,147,36,0.04,0.04,0.09
184,Aleix García,35.5,0,0,58,294,52,0.08,0.17,0.25
185,Álvaro García,27.5,0,0,56,63,252,0.22,0.04,0.25
186,Dani García,8.3,0,0,3,36,4,0.12,0.00,0.12
187,David García,25.9,0,0,21,133,4,0.00,0.04,0.04
188,Eric García,0.6,0,0,0,5,0,0.00,0.00,0.00
189,Eric García,29.3,0,0,45,221,18,0.17,0.00,0.17
190,Fran Garcia,15.5,0,0,53,60,139,0.06,0.32,0.39
191,Francisco Jesús Crespo García,5.6,0,0,17,20,66,0.36,0.00,0.36
192,Gonzalo García,0.2,0,0,1,0,3,0.00,0.00,0.00
