,Jugador,Posición,% Regates completados
172,André Ferreira,GK,0
173,Rachad Fettal,FW,0
174,Pablo Fornals,"FW,MF",42.3
175,Héctor Fort,DF,42.9
176,Dimitri Foulquier,"DF,MF",48.9
177,Juan Foyth,DF,74.1
178,Jorge de Frutos,"FW,MF",30.6
179,Daniel Fuzato,GK,0
180,Matteo Gabbia,DF,0
181,Javi Galán,DF,50.0
182,Javi Galán,DF,40.9
183,Iñigo Ruiz de Galarreta,MF,66.7
184,Aleix García,MF,62.5
185,Álvaro García,"FW,MF",40.0
186,Dani García,MF,100.0
187,David García,DF,75.0
188,Eric García,DF,0
189,Eric García,DF,44.4
190,Fran Garcia,DF,44.4
191,Francisco Jesús Crespo García,FW,44.1
192,Gonzalo García,"FW,MF",0.0
193,Jastin García,FW,50.0
194,Raúl García,"FW,MF",40.0
195,Rubén García,"FW,MF",58.1
196,Santiago García,FW,0.0
197,Unai García,DF,0.0
198,Federico Gattoni,"DF,FW",0
199,Gavi,"MF,FW",54.5
200,Paulo Gazzaniga,GK,100.0
201,David Gil,GK,0
202,Maxi Gómez,FW,36.4
203,Moi Gómez,"MF,FW",58.6
204,Unai Gómez,MF,41.4
205,Édgar González,"DF,MF",63.6
206,Fabio González,MF,100.0
207,Giovanni González,DF,50.0
208,Hugo González,"MF,FW",0.0
209,Iñaki González,MF,0
210,Peter González,"MF,FW",44.8
211,Urko González,MF,50.0
212,Andoni Gorosabel,DF,51.0
213,Pablo Gozalbez,"MF,FW",0.0
214,Mason Greenwood,"MF,FW",51.8
215,Dominik Greif,GK,0
216,Antoine Griezmann,"FW,MF",57.9
217,Vicente Guaita,GK,0
218,Andrés Guardado,MF,85.7
219,Sergi Guardiola,"FW,MF",50.0
220,Nemanja Gudelj,"DF,MF",66.7
221,Gonçalo Guedes,"FW,MF",66.7
222,Javier Guerra,MF,48.7
223,Ander Guevara,MF,59.4
224,Hugo Guillamón,MF,100.0
225,Marc Guiu,"FW,MF",0
226,Arda Güler,"FW,MF",50.0
227,Gerard Gumbau,MF,55.6
228,İlkay Gündoğan,MF,55.7
229,Jon Guridi,MF,36.8
230,Gorka Guruzeta,FW,57.6
231,Miguel Gutiérrez,DF,39.7
232,Munir El Haddadi,FW,34.4
233,Ianis Hagi,"MF,FW",51.9
234,Luiz Henrique,FW,55.3
235,Mario Hermoso,DF,55.0
236,Javi Hernández,DF,40.6
237,Aridane Hernández,DF,33.3
238,Luis Hernández,DF,0
239,Yarek Hernandis,DF,33.3
240,Jorge Herrando,DF,100.0
241,Ander Herrera,MF,50.0
242,Cristian Herrera,"FW,MF",50.0
243,Sergio Herrera,GK,0
244,Yangel Herrera,MF,71.0
245,Juan Herzog,DF,100.0
246,Martin Hongla,"MF,DF",0.0
247,Xabier Huarte Armendáriz,MF,0
248,Pablo Ibáñez,MF,26.7
249,Iglesias,"DF,FW",42.9
250,Borja Iglesias,FW,50.0
251,Imanol,DF,80.0
252,Isco,MF,55.1
253,Diego Iturralde,DF,100.0
254,Adnan Januzaj,"FW,MF",45.5
255,Mikel Jauregizar,MF,33.3
256,Luis Javier Suárez,FW,52.2
257,Salim El Jebari,MF,0
258,Frenkie de Jong,MF,54.2
259,Joan Jordán,MF,100.0
260,Jordi,"MF,DF",35.0
261,Jeremy Jorge,FW,0
