,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
561,Bertrand Traoré,1,35.0,3.17,1.11,0.05,0.14,19.4
562,Hamari Traoré,0,11.1,0.71,0.08,0.00,0.00,24.3
563,Óscar Trejo,0,16.7,1.17,0.20,0.00,0.00,19.6
564,Manu Trigueros,0,50.0,1.75,0.87,0.00,0.00,20.5
565,Viktor Tsyhankov,8,34.1,1.93,0.66,0.18,0.53,17.0
566,Beñat Turrientes,0,43.5,1.23,0.53,0.00,0.00,24.6
567,Enes Ünal,0,0.0,0.64,0.00,0.00,0,18.5
568,Myrto Uzuni,11,41.4,2.13,0.88,0.12,0.29,17.9
569,Óscar Valentín,1,46.7,0.50,0.23,0.07,0.14,12.7
570,Martin Valjent,0,0.0,0.34,0.00,0.00,0,19.6
571,Jesús Vallejo,0,0,0.00,0.00,0,0,0
572,Álvaro Vallés,0,0,0.00,0.00,0,0,0
573,Federico Valverde,2,32.1,1.74,0.56,0.04,0.11,23.0
574,Siebe Van Der Heyden,0,0.0,0.63,0.00,0.00,0,9.8
575,José Luis García Vayá,7,18.5,0.74,0.14,0.00,0.00,33.8
576,Borja Vázquez,0,0,0.00,0.00,0,0,0
577,Jesus Vazquez,1,28.6,0.88,0.25,0.14,0.50,14.1
578,Kevin Vázquez,0,50.0,0.26,0.13,0.00,0.00,20.8
579,Lucas Vázquez,3,58.3,0.76,0.44,0.25,0.43,13.4
580,Gabriel Veiga,0,0,0.00,0.00,0,0,0
581,Alejo Véliz,0,100.0,5.14,5.14,0.00,0.00,10.1
582,Arthur Vermeeren,0,0,0.00,0.00,0,0,0
583,Mikel Vesga,3,29.4,1.00,0.29,0.06,0.20,20.7
584,Carlos Vicente,2,53.3,1.21,0.65,0.13,0.25,15.2
585,Nacho Vidal,1,33.3,2.81,0.94,0.33,1.00,12.4
586,Nacho Vidal,0,37.5,1.73,0.65,0.00,0.00,12.3
587,Fran Vieites,0,0,0.00,0.00,0,0,0
588,Jonathan Viera,2,33.3,1.75,0.58,0.00,0.00,24.0
589,Jonathan Viera,0,41.7,1.18,0.49,0.00,0.00,18.7
590,Toni Villa,0,100.0,6.92,6.92,0.00,0.00,18.9
591,Asier Villalibre,2,50.0,2.11,1.05,0.17,0.33,11.5
592,Gonzalo Villar,1,18.2,1.10,0.20,0.05,0.25,22.5
593,Iván Villar,0,0,0.00,0.00,0,0,0
594,Ricardo Visus,0,0,0.00,0.00,0,0,0
595,Daniel Vivian,0,9.1,0.34,0.03,0.00,0.00,13.5
596,Shon Weissman,0,0.0,1.10,0.00,0.00,0,13.1
597,Iñaki Williams,12,46.2,2.94,1.36,0.13,0.28,15.4
