,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
182,Javi Galán,0,33.3,0.25,0.08,0.00,0.00,20.8
183,Iñigo Ruiz de Galarreta,1,18.2,0.47,0.09,0.09,0.50,25.4
184,Aleix García,3,30.8,1.10,0.34,0.08,0.25,26.4
185,Álvaro García,6,37.8,1.64,0.62,0.13,0.35,16.0
186,Dani García,1,50.0,0.72,0.36,0.17,0.33,13.6
187,David García,0,13.3,0.58,0.08,0.00,0.00,9.8
188,Eric García,0,0.0,1.58,0.00,0.00,0,11.0
189,Eric García,5,37.5,0.55,0.20,0.31,0.83,9.4
190,Fran Garcia,1,11.1,0.58,0.06,0.11,1.00,20.9
191,Francisco Jesús Crespo García,2,47.1,3.04,1.43,0.12,0.25,22.2
192,Gonzalo García,0,100.0,4.74,4.74,0.00,0.00,19.1
193,Jastin García,0,0,0.00,0.00,0,0,0
194,Raúl García,1,10.0,2.14,0.21,0.10,1.00,14.3
195,Rubén García,3,35.7,1.63,0.58,0.11,0.30,18.0
196,Santiago García,0,0,0.00,0.00,0,0,0
197,Unai García,1,50.0,0.32,0.16,0.50,1.00,14.4
198,Federico Gattoni,0,0,0.00,0.00,0,0,0
199,Gavi,1,44.4,0.86,0.38,0.11,0.25,15.2
200,Paulo Gazzaniga,0,0,0.00,0.00,0,0,0
201,David Gil,0,0,0.00,0.00,0,0,0
202,Maxi Gómez,0,37.5,1.24,0.46,0.00,0.00,14.3
203,Moi Gómez,3,36.8,0.85,0.31,0.16,0.43,21.3
204,Unai Gómez,2,43.8,1.65,0.72,0.13,0.29,17.0
205,Édgar González,2,23.1,0.46,0.11,0.15,0.67,10.3
206,Fabio González,0,0,0.00,0.00,0,0,0
207,Giovanni González,1,28.6,0.51,0.15,0.07,0.25,21.3
208,Hugo González,0,0.0,1.03,0.00,0.00,0,29.8
209,Iñaki González,0,0,0.00,0.00,0,0,0
210,Peter González,0,29.4,2.36,0.69,0.00,0.00,19.3
211,Urko González,0,0.0,1.15,0.00,0.00,0,17.1
212,Andoni Gorosabel,1,40.0,0.47,0.19,0.07,0.17,23.4
213,Pablo Gozalbez,0,0.0,0.87,0.00,0.00,0,30.8
214,Mason Greenwood,8,31.3,3.35,1.05,0.06,0.19,20.9
215,Dominik Greif,0,0,0.00,0.00,0,0,0
216,Antoine Griezmann,16,38.7,2.55,0.99,0.16,0.41,17.3
217,Vicente Guaita,0,0,0.00,0.00,0,0,0
218,Andrés Guardado,0,0.0,1.01,0.00,0.00,0,24.4
219,Sergi Guardiola,1,35.7,2.55,0.91,0.07,0.20,16.9
220,Nemanja Gudelj,1,15.8,0.98,0.15,0.05,0.33,24.1
221,Gonçalo Guedes,3,30.8,2.46,0.76,0.12,0.38,19.6
222,Javier Guerra,4,33.3,1.51,0.50,0.10,0.29,24.3
223,Ander Guevara,1,12.5,0.49,0.06,0.06,0.50,23.2
224,Hugo Guillamón,1,66.7,0.21,0.14,0.33,0.50,18.3
225,Marc Guiu,1,25.0,4.86,1.22,0.25,1.00,12.1
226,Arda Güler,6,40.0,3.58,1.43,0.40,1.00,21.9
227,Gerard Gumbau,0,20.0,1.51,0.30,0.00,0.00,28.3
228,İlkay Gündoğan,5,36.6,1.23,0.45,0.10,0.27,17.8
229,Jon Guridi,3,22.2,1.21,0.27,0.08,0.38,13.0
230,Gorka Guruzeta,14,44.4,2.56,1.14,0.22,0.50,13.5
231,Miguel Gutiérrez,2,14.7,1.01,0.15,0.06,0.40,22.3
232,Munir El Haddadi,3,26.2,1.54,0.40,0.07,0.27,16.7
233,Ianis Hagi,0,30.8,2.91,0.90,0.00,0.00,23.9
234,Luiz Henrique,0,16.7,2.63,0.44,0.00,0.00,15.9
235,Mario Hermoso,0,23.5,0.60,0.14,0.00,0.00,15.0
236,Javi Hernández,1,26.7,1.07,0.29,0.03,0.13,24.0
237,Aridane Hernández,0,0.0,0.27,0.00,0.00,0,16.0
238,Luis Hernández,1,100.0,0.12,0.12,1.00,1.00,2.2
239,Yarek Hernandis,0,0.0,0.12,0.00,0.00,0,15.9
240,Jorge Herrando,0,0.0,0.22,0.00,0.00,0,14.5
241,Ander Herrera,0,14.3,1.22,0.17,0.00,0.00,21.2
242,Cristian Herrera,1,100.0,0.54,0.54,1.00,1.00,3.8
243,Sergio Herrera,0,0,0.00,0.00,0,0,0
244,Yangel Herrera,5,34.6,2.22,0.77,0.10,0.28,16.5
245,Juan Herzog,2,100.0,0.92,0.92,0.67,0.67,6.2
246,Martin Hongla,0,33.3,0.48,0.16,0.00,0.00,18.5
247,Xabier Huarte Armendáriz,0,0,0.00,0.00,0,0,0
248,Pablo Ibáñez,1,25.9,2.11,0.55,0.04,0.14,18.1
249,Iglesias,0,40.0,0.96,0.38,0.00,0.00,25.2
250,Borja Iglesias,0,0.0,2.21,0.00,0.00,0,16.3
251,Imanol,0,0.0,0.17,0.00,0.00,0,23.7
252,Isco,8,38.7,2.40,0.93,0.10,0.25,18.0
253,Diego Iturralde,0,0,0.00,0.00,0,0,0
254,Adnan Januzaj,0,16.7,2.80,0.47,0.00,0.00,16.8
255,Mikel Jauregizar,0,0.0,1.19,0.00,0.00,0,28.2
256,Luis Javier Suárez,6,33.3,3.83,1.28,0.13,0.38,14.2
257,Salim El Jebari,0,0,0.00,0.00,0,0,0
258,Frenkie de Jong,2,57.1,0.39,0.22,0.29,0.50,20.4
259,Joan Jordán,0,16.7,1.42,0.24,0.00,0.00,21.9
260,Jordi,0,42.9,1.10,0.47,0.00,0.00,12.9
261,Jeremy Jorge,0,0,0.00,0.00,0,0,0
262,Willian José,10,50.0,2.19,1.10,0.21,0.42,16.3
263,Joselu,10,45.9,3.25,1.49,0.16,0.36,12.8
264,Kamil Jóźwiak,0,25.0,0.63,0.16,0.00,0.00,21.8
265,Juanmi,3,50.0,1.44,0.72,0.21,0.43,12.6
266,Juanpe,0,0.0,0.48,0.00,0.00,0,12.6
267,Vinicius Júnior,15,49.4,3.72,1.83,0.18,0.37,14.6
268,Filip Jørgensen,0,0,0.00,0.00,0,0,0
269,Sory Kaba,1,7.7,1.62,0.12,0.08,1.00,17.1
270,Kaiky,1,33.3,0.52,0.17,0.33,1.00,11.4
271,Jon Karrikaburu,0,0,0.00,0.00,0,0,0
272,Ibrahima Kebe,0,0,0.00,0.00,0,0,0
273,Kiké,3,41.1,3.54,1.45,0.05,0.13,13.1
274,Koke,0,20.0,0.36,0.07,0.00,0.00,21.9
275,Ibrahima Koné,0,50.0,1.30,0.65,0.00,0.00,12.9
276,Rominigue Kouamé,0,0.0,0.55,0.00,0.00,0,22.3
277,Jules Koundé,1,25.0,0.75,0.19,0.04,0.17,15.3
278,Toni Kroos,1,37.1,1.48,0.55,0.03,0.08,25.2
279,Takefusa Kubo,7,45.7,1.93,0.88,0.15,0.33,17.5
280,Luca de la Torre,1,33.3,1.10,0.37,0.04,0.13,16.4
281,Yoel Lago,0,0,0.00,0.00,0,0,0
282,Érik Lamela,2,44.4,1.75,0.78,0.22,0.50,14.2
283,Bruno Langa,1,25.0,0.88,0.22,0.13,0.50,24.6
284,Cyle Larin,3,36.2,3.41,1.23,0.04,0.12,12.7
285,Juanmi Latasa,2,34.1,2.55,0.87,0.05,0.13,12.7
286,Toni Lato,0,20.0,0.29,0.06,0.00,0.00,17.6
287,Lázaro,0,50.0,2.53,1.26,0.00,0.00,18.3
288,Robin Le Normand,2,62.5,0.29,0.18,0.25,0.40,12.2
289,Jeremías Ledesma,0,0,0.00,0.00,0,0,0
290,Florian Lejeune,3,31.3,1.81,0.57,0.04,0.14,27.9
291,Stefan Lekovic,0,0,0.00,0.00,0,0,0
292,Iñigo Lekue,0,0.0,0.22,0.00,0.00,0,22.3
293,Thomas Lemar,0,0.0,1.10,0.00,0.00,0,23.0
294,Álvaro Lemos,0,0.0,0.36,0.00,0.00,0,29.3
295,Ruben Lendinez,0,0,0.00,0.00,0,0,0
296,Robert Lewandowski,19,41.1,2.95,1.21,0.17,0.41,13.9
297,Samuel Lino,4,38.9,2.34,0.91,0.07,0.19,16.6
298,Javier Llabrés,1,44.4,3.28,1.46,0.11,0.25,19.9
299,Marcos Llorente,6,63.3,1.05,0.67,0.20,0.32,15.4
300,Enzo Loiodice,0,37.5,0.80,0.30,0.00,0.00,23.7
301,David López,3,31.3,0.73,0.23,0.19,0.60,15.0
302,Diego López,3,36.6,1.39,0.51,0.07,0.20,15.4
303,Fermin López,8,47.1,3.17,1.49,0.16,0.33,15.9
304,Javi López,1,16.7,0.68,0.11,0.06,0.33,17.4
305,Unai López,1,15.6,1.37,0.21,0.03,0.20,28.0
306,Dion Lopy,0,34.8,1.08,0.38,0.00,0.00,26.2
307,Anthony Lozano,0,0.0,3.91,0.00,0.00,0,15.2
308,Anthony Lozano,3,39.1,2.68,1.05,0.13,0.33,13.3
309,Lucas,1,36.4,0.64,0.23,0.09,0.25,21.5
310,José Luis Gayà,1,10.0,0.50,0.05,0.10,1.00,20.1
311,José Luis Morales,7,46.2,2.23,1.03,0.27,0.58,13.3
312,Dodi Lukebakio,5,40.5,3.36,1.36,0.12,0.29,14.4
313,Andriy Lunin,0,0,0.00,0.00,0,0,0
314,Darwin Machís,4,45.0,2.29,1.03,0.15,0.33,24.2
315,Pablo Maffeo,1,36.4,0.68,0.25,0.09,0.25,23.3
316,Jon Magunacelaya,0,0.0,2.98,0.00,0.00,0,15.5
317,Nemanja Maksimović,4,44.1,0.94,0.41,0.12,0.27,11.7
318,Giorgi Mamardashvili,0,0,0.00,0.00,0,0,0
319,Wilson Manafá,0,0.0,0.37,0.00,0.00,0,29.4
320,Reinildo Mandava,2,60.0,0.62,0.37,0.40,0.67,10.4
321,Aïssa Mandi,1,50.0,0.32,0.16,0.25,0.50,12.8
322,Javier Manquillo,0,0.0,0.12,0.00,0.00,0,13.5
323,Faitout Maouassa,0,0.0,1.97,0.00,0.00,0,20.0
324,Marcão,0,0,0.00,0.00,0,0,0
325,Óscar de Marcos,1,40.0,0.20,0.08,0.20,0.50,15.7
326,Alberto Marí,1,33.3,1.96,0.65,0.00,0.00,11.4
327,José Mari,0,0,0.00,0.00,0,0,0
328,José María Giménez,0,14.3,0.48,0.07,0.00,0.00,12.4
329,Mariano,0,14.3,5.16,0.74,0.00,0.00,14.7
330,Rafa Marín,0,23.1,0.48,0.11,0.00,0.00,14.5
331,Diego Mariño,0,0,0.00,0.00,0,0,0
332,Mika Màrmol,0,0.0,0.08,0.00,0.00,0,15.9
333,Unai Marrero,0,0,0.00,0.00,0,0,0
334,Roger Martí,2,36.4,2.19,0.79,0.06,0.17,17.8
335,Iván Martín,5,57.9,0.63,0.36,0.26,0.45,16.4
336,Jon Martin,0,0,0.00,0.00,0,0,0
337,Mario Martín,0,0,0.00,0.00,0,0,0
338,Arnau Martinez,0,0.0,0.07,0.00,0.00,0,7.9
339,Iñigo Martínez,0,12.5,0.56,0.07,0.00,0.00,11.6
340,Marc Martínez,0,0,0.00,0.00,0,0,0
341,Marvin,0,21.4,0.68,0.15,0.00,0.00,17.3
342,Omar Mascarell,0,0.0,0.34,0.00,0.00,0,21.7
343,Jaime Mata,5,37.5,1.61,0.60,0.16,0.42,13.8
344,Luís Maximiano,0,0,0.00,0.00,0,0,0
345,Borja Mayoral,15,53.5,1.80,0.96,0.26,0.48,15.8
346,Mamadou Mbaye,0,50.0,0.62,0.31,0.00,0.00,7.9
347,Hannibal Mejbri,0,0.0,0.87,0.00,0.00,0,24.9
348,Óscar Melendo,0,33.3,0.48,0.16,0.00,0.00,14.9
349,Gonzalo Melero,1,28.6,1.14,0.33,0.07,0.25,11.7
350,Memphis,5,39.5,3.83,1.51,0.13,0.33,17.5
351,Houboulang Mendes,0,0.0,0.23,0.00,0.00,0,23.2
352,Tomás Mendes,0,0,0.00,0.00,0,0,0
353,Brais Méndez,5,22.7,2.46,0.56,0.08,0.33,20.7
354,Bruno Méndez,2,50.0,0.54,0.27,0.25,0.50,15.8
355,Diego Méndez,0,0,0.00,0.00,0,0,0
356,Ferland Mendy,0,20.0,0.26,0.05,0.00,0.00,19.8
357,Jorge Meré,0,25.0,0.53,0.13,0.00,0.00,18.2
358,Mikel Merino,5,36.7,1.09,0.40,0.17,0.45,13.9
359,Omenuke Mfulu,0,0,0.00,0.00,0,0,0
360,Miguel,0,50.0,2.77,1.38,0.00,0.00,19.6
361,Éder Militão,0,100.0,0.36,0.36,0.00,0.00,22.4
362,Luis Milla,0,31.3,0.68,0.21,0.00,0.00,25.1
363,Marko Milovanović,1,20.0,1.46,0.29,0.20,1.00,16.2
364,Óscar Mingueza,2,46.4,0.84,0.39,0.07,0.15,20.4
