,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
602,Javi Rodríguez,DF,0,0
603,Kirian Rodríguez,MF,1.08,-0.31
604,Miguel Rodríguez,MF,0.47,-0.90
605,Rodrygo,FW,2.44,+1.25
606,Carlos Romero,DF,1.86,-1.72
607,Luka Romero,FW,0.54,0.00
608,Oriol Romeu,MF,2.32,+0.10
609,Unai Ropero,MF,0.00,0.00
610,Vitor Roque,FW,2.79,+1.37
611,Antonio Rüdiger,DF,2.55,+1.40
612,Javier Rueda Garcia,"MF,DF",1.00,0.00
613,Aitor Ruibal,"DF,FW",1.33,-0.18
614,Sergio Ruiz,MF,0.58,-1.05
615,Ruly,GK,0,0
616,Iñaki Rupérez,DF,0,0
617,Youssouf Sabaly,DF,1.50,+0.09
618,Umar Sadiq,FW,1.58,+0.08
619,Pablo Saenz,MF,0.00,-14.21
620,Kike Salas,DF,0.96,-0.22
621,Salvi,MF,3.00,0.00
622,Diadie Samassékou,MF,0.75,-3.91
623,Fede San Emeterio,MF,1.00,-0.59
624,Oihan Sancet,MF,1.73,+0.87
625,Ricard Sánchez,DF,0.42,-1.06
626,Ander Sánchez,MF,0,0
627,Antonio Sánchez,MF,1.21,-0.12
628,Juanlu Sánchez,DF,1.12,-0.53
629,Manu Sánchez,"DF,MF",0.92,-0.51
630,Lassina Sangare,MF,0,0
631,Jesús Santiago,MF,0.86,-0.41
632,Paco Sanz,DF,3.00,+7.50
633,Stefan Savić,DF,2.00,+0.77
634,Sávio,"FW,MF",2.11,+1.06
635,Manuel Sebastián,MF,1.50,-1.54
636,Aleksandar Sedlar,DF,1.09,-0.38
637,André Silva,FW,1.42,0.00
638,Rui Silva,GK,1.39,-0.04
639,Giuliano Simeone,FW,1.50,+0.57
640,Unai Simón,GK,1.81,+0.71
641,Daley Sinkgraven,DF,0.73,-0.70
642,Xavi Sintes,MF,0,0
643,Jailson Siqueira,"DF,MF",1.29,+0.20
644,Antonio Sivera,GK,1.21,-0.18
645,Rubén Sobrino,"MF,FW",1.00,-0.87
646,Alex Sola,"FW,MF",1.24,-0.78
647,Alex Sola,"DF,MF",1.00,-3.00
648,Jhon Solis,MF,1.67,+0.47
649,David Soria,GK,1.13,-0.26
650,Alberto Soro,MF,3.00,-11.25
651,Hugo Sotelo,MF,0.88,-1.12
652,Boubakary Soumaré,MF,1.36,-0.04
653,Djibril Sow,MF,1.00,-0.18
654,Ibrahima Sow,FW,0,0
655,Çağlar Söyüncü,DF,2.50,+3.16
656,Dimitrios Stamatakis,GK,0,0
657,Carl Starfelt,DF,1.00,-0.45
658,Jørgen Strand Larsen,FW,1.11,+0.03
659,Cristhian Stuani,FW,2.10,+1.57
660,Álex Suárez,DF,1.00,-0.35
661,Damián Suárez,DF,1.12,-0.28
662,Denis Suárez,"MF,FW",0.75,-2.71
663,Suso,"MF,FW",1.03,-0.30
664,Max Svensson,FW,1.00,0.00
665,Martin Šviderský,MF,0,0
666,Williot Swedberg,"FW,MF",1.27,-0.21
667,Mamadou Sylla,"FW,MF",1.50,-5.00
668,Alexander Sørloth,FW,1.41,+0.36
669,Yassin Tallal,FW,1.00,0.00
670,Renato Tapia,"MF,DF",1.10,-0.07
671,César Tárrega,DF,3.00,0.00
672,Marciano Tchami,"FW,MF",0.00,-6.28
673,Aurélien Tchouaméni,"MF,DF",2.67,+1.59
674,Martín Tejón,MF,0,0
675,Nahuel Tenaglia,DF,1.48,-0.32
676,Marc-André ter Stegen,GK,2.32,+1.11
677,Ramón Terrats,"MF,DF",1.16,-0.57
678,Kieran Tierney,DF,1.75,+0.36
679,Vinicius Tobias,DF,0,0
680,Raúl de Tomás,FW,0.96,-0.07
681,Pablo Torre,"MF,FW",2.08,+0.51
682,Raúl Torrente,DF,0.35,-1.22
683,Ferrán Torres,FW,2.21,+1.11
684,Óliver Torres,MF,1.22,+0.17
685,Lucas Torró,MF,1.11,-0.40
686,Bertrand Traoré,MF,2.00,+1.90
687,Hamari Traoré,DF,1.68,+0.63
688,Óscar Trejo,"FW,MF",1.10,-0.33
689,Manu Trigueros,MF,1.36,-0.58
690,Pol Tristán,GK,0,0
691,Viktor Tsyhankov,"MF,FW",2.17,+0.96
692,Beñat Turrientes,MF,1.86,+0.21
693,Enes Ünal,"FW,MF",1.00,-0.64
694,Myrto Uzuni,FW,0.62,-0.85
695,Pablo Valencia,GK,0,0
696,Óscar Valentín,MF,1.09,-0.23
697,Martin Valjent,DF,0.96,-0.38
698,Jesús Vallejo,DF,1.33,-2.50
699,Manu Vallejo,"FW,MF",0,0
700,Álvaro Vallés,GK,1.08,-0.30
701,Federico Valverde,MF,2.49,+1.67
702,Siebe Van Der Heyden,DF,0.86,-0.63
703,José Luis García Vayá,MF,1.32,-0.11
704,Borja Vázquez,FW,0.00,0.00
705,Jesus Vazquez,"DF,MF",1.50,+0.13
706,Kevin Vázquez,DF,0.67,-0.51
707,Lucas Vázquez,DF,2.55,+1.40
708,Gabriel Veiga,FW,0.00,-5.00
709,Alejo Véliz,FW,1.17,-5.14
710,Arthur Vermeeren,MF,1.80,+0.56
711,Mikel Vesga,MF,1.78,+0.47
712,Carlos Vicente,FW,1.67,+0.32
713,Pau Victor Delgado,FW,0,0
714,Nacho Vidal,"DF,FW",2.00,0.00
715,Nacho Vidal,DF,1.88,-0.22
716,Fran Vieites,GK,1.25,-0.57
717,Jonathan Viera,"MF,FW",1.22,-0.58
718,Jonathan Viera,MF,0.83,-0.20
719,Toni Villa,FW,1.50,0.00
720,Asier Villalibre,FW,1.72,+0.35
721,Gonzalo Villar,MF,0.49,-1.00
722,Iván Villar,GK,1.00,-0.36
723,Ricardo Visus,DF,1.67,0.00
724,Daniel Vivian,DF,1.82,+0.63
725,Victor Wehbi,GK,0,0
726,Shon Weissman,FW,0.40,+1.10
727,Iñaki Williams,FW,1.74,+0.66
728,Nico Williams,FW,1.90,+0.84
729,Axel Witsel,DF,2.09,+0.68
730,Xeber,"FW,MF",1.00,-0.30
731,Antal Yaakobishvili,DF,3.00,+2.95
732,Áron Yaakobishvili,GK,0,0
733,Lamine Yamal,FW,2.22,+0.98
734,Roman Yaremchuk,FW,1.16,0.00
735,Arsen Zakharyan,"MF,FW",1.52,-0.15
736,Joseba Zaldúa,DF,0.85,-1.02
737,Bryan Zaragoza,"MF,FW",0.52,-0.99
738,Theo Zidane,MF,0,0
739,Igor Zubeldia,DF,1.57,+0.36
740,Martín Zubimendi,MF,1.52,+0.31
