,Jugador,País,Posición,Equipo,Competición,Edad
100,Álex Centelles,ESP,DF,Almería,La Liga,25
101,Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,29
102,Pep Chavarría,ESP,"DF,MF",Rayo Vallecano,La Liga,25
103,Andreas Christensen,DEN,"DF,MF",Barcelona,La Liga,27
104,Víctor Chust,ESP,DF,Cádiz,La Liga,23
105,Pathé Ciss,SEN,MF,Rayo Vallecano,La Liga,29
106,Silvi Clúa,ESP,MF,Girona,La Liga,18
107,Saúl Coco,EQG,DF,Las Palmas,La Liga,24
108,Santi Comesaña,ESP,MF,Villarreal,La Liga,26
109,Copete,ESP,DF,Mallorca,La Liga,23
110,Francis Coquelin,FRA,MF,Villarreal,La Liga,32
111,Theo Corbeanu,CAN,"MF,FW",Granada,La Liga,21
112,Jesús Corona,MEX,"MF,DF",Sevilla,La Liga,30
113,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28
114,Thierry Correia,POR,DF,Valencia,La Liga,24
115,Jaume Costa,ESP,DF,Mallorca,La Liga,35
116,Samu Costa,POR,MF,Mallorca,La Liga,22
117,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31
118,Yan Couto,BRA,"DF,FW",Girona,La Liga,21
119,Crespo,POR,MF,Rayo Vallecano,La Liga,26
120,Cristian,ESP,GK,Valencia,La Liga,25
121,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,31
122,Juan Cruz,ESP,FW,Betis,La Liga,23
123,Pau Cubarsí,ESP,DF,Barcelona,La Liga,16
124,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39
125,Jorge Cuenca,ESP,DF,Villarreal,La Liga,23
126,Eric Curbelo,ESP,"DF,MF",Las Palmas,La Liga,29
127,Alberto Dadie,ESP,MF,Real Sociedad,La Liga,21
128,Sergi Darder,ESP,MF,Mallorca,La Liga,29
129,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,29
130,Mouctar Diakhaby,GUI,"DF,MF",Valencia,La Liga,26
131,Moussa Diakité,MLI,MF,Cádiz,La Liga,19
132,Assane Diao,ESP,FW,Betis,La Liga,17
133,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,23
134,Víctor Díaz,ESP,"DF,MF",Granada,La Liga,35
135,Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30
136,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29
137,Djené,TOG,"DF,MF",Getafe,La Liga,31
138,Marko Dmitrović,SRB,GK,Sevilla,La Liga,31
139,Jaume Doménech,ESP,GK,Valencia,La Liga,32
140,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22
141,Mario Dominguez,ESP,FW,Valencia,La Liga,19
142,Carlos Dotor,ESP,MF,Celta Vigo,La Liga,22
143,Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,23
144,Artem Dovbyk,UKR,FW,Girona,La Liga,26
145,Domingos Duarte,POR,DF,Getafe,La Liga,28
146,Rubén Duarte,ESP,DF,Alavés,La Liga,27
147,Hugo Duro,ESP,FW,Valencia,La Liga,23
148,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29
149,Adri Embarba,ESP,"FW,MF",Almería,La Liga,31
150,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26
151,Gonzalo Escalante,ARG,MF,Cádiz,La Liga,30
152,Aarón Escandell,ESP,GK,Las Palmas,La Liga,27
153,Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,31
154,Bernardo Espinosa,COL,DF,Girona,La Liga,34
155,Karl Etta,CMR,FW,Cádiz,La Liga,19
156,Abdessamad Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21
157,Abdessamad Ezzalzouli,MAR,FW,Betis,La Liga,21
158,Radamel Falcao,COL,"FW,DF",Rayo Vallecano,La Liga,37
